epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,54.0357,0.33571,0.23856,0.87102,0.99128,0.99163,0.99458,0.97268,0.25256,0.14548,0.82342,9.92e-05,9.92e-05,9.92e-05
98,97.9858,0.30092,0.21489,0.8549,0.99099,0.99163,0.99445,0.97232,0.22855,0.14707,0.81199,7.94e-05,7.94e-05,7.94e-05
99,141.201,0.29317,0.20639,0.85028,0.99019,0.99163,0.99449,0.97184,0.21931,0.14975,0.81139,5.96e-05,5.96e-05,5.96e-05
100,184.076,0.29044,0.20224,0.85137,0.99037,0.99163,0.99466,0.97275,0.22475,0.146,0.81237,3.98e-05,3.98e-05,3.98e-05
