epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.599,0.60457,3.29529,0.87585,0.00336,0.9881,0.60527,0.51853,0.50255,3.64504,0.82242,0.00028339,0.00028339,0.00028339
2,107.931,0.51014,2.13934,0.8354,0.98439,0.38095,0.89348,0.7751,0.53513,3.30466,0.81008,0.000525688,0.000525688,0.000525688
3,162.313,0.53173,1.66273,0.82519,1,0.30326,0.94929,0.80927,0.62257,3.12666,0.84122,0.000708575,0.000708575,0.000708575
4,214.838,0.52973,1.56171,0.81501,0.80358,0.71122,0.76086,0.66785,0.55317,2.7557,0.82912,0.00083205,0.00083205,0.00083205
5,267.765,0.49285,1.39466,0.80972,0.81234,0.85593,0.79707,0.70279,0.53615,2.42076,0.80475,0.000896113,0.000896113,0.000896113
6,324.47,0.5033,1.30394,0.83025,0.99217,1,0.995,0.87444,0.48235,1.33463,0.79455,0.000841835,0.000841835,0.000841835
7,518.567,0.43629,1.25814,0.81157,0.99425,1,0.995,0.90956,0.45601,1.37006,0.79115,0.000676802,0.000676802,0.000676802
8,701.745,0.44306,1.15375,0.80229,0.99784,1,0.995,0.8964,0.42898,1.12718,0.79219,0.000511769,0.000511769,0.000511769
9,902.489,0.38938,1.06097,0.8028,0.99791,1,0.995,0.91634,0.3956,1.04259,0.78659,0.000346736,0.000346736,0.000346736
10,1103.19,0.36115,0.98761,0.78993,0.99738,1,0.995,0.955,0.30843,1.0006,0.77779,0.000181703,0.000181703,0.000181703
