epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
25,1206.96,0.134,0.77703,1,0.65216,0.00108947,0.00108947,0.00108947
26,1254.09,0.13592,0.8277,1,0.50024,0.00107532,0.00107532,0.00107532
27,1300.69,0.14215,0.7027,1,1.178,0.00106118,0.00106118,0.00106118
28,1349.24,0.1224,0.76689,1,0.74561,0.00104703,0.00104703,0.00104703
29,1396.23,0.11874,0.79392,1,0.6275,0.00103288,0.00103288,0.00103288
30,1443.08,0.12547,0.66216,1,1.13552,0.00101873,0.00101873,0.00101873
31,1492.55,0.11095,0.69257,1,1.11107,0.00100459,0.00100459,0.00100459
32,1539.56,0.09691,0.63176,1,1.10752,0.00099044,0.00099044,0.00099044
33,1586.26,0.13467,0.72973,1,0.87926,0.000976293,0.000976293,0.000976293
34,1634,0.11358,0.66554,1,1.15512,0.000962146,0.000962146,0.000962146
35,1680.2,0.0784,0.72297,1,0.90783,0.000947999,0.000947999,0.000947999
36,1726.25,0.11226,0.87162,1,0.44515,0.000933851,0.000933851,0.000933851
37,1773.74,0.12952,0.63514,1,1.55427,0.000919704,0.000919704,0.000919704
38,1820.54,0.1288,0.90541,1,0.62681,0.000905557,0.000905557,0.000905557
39,1867.97,0.10419,0.73311,1,0.93789,0.00089141,0.00089141,0.00089141
40,1918.59,0.07671,0.78041,1,0.7241,0.000877263,0.000877263,0.000877263
41,1965.61,0.05972,0.71959,1,1.38948,0.000863116,0.000863116,0.000863116
42,2011.51,0.06235,0.76689,1,1.0426,0.000848969,0.000848969,0.000848969
43,2060.02,0.03454,0.78378,1,0.79843,0.000834822,0.000834822,0.000834822
44,2108.83,0.0856,0.74324,1,0.95106,0.000820675,0.000820675,0.000820675
45,2157.96,0.05285,0.73311,1,1.10449,0.000806528,0.000806528,0.000806528
46,2204.93,0.0639,0.7973,1,0.95854,0.00079238,0.00079238,0.00079238
47,2250.96,0.06407,0.86824,1,0.33032,0.000778233,0.000778233,0.000778233
48,2297,0.09067,0.79392,1,0.66842,0.000764086,0.000764086,0.000764086
49,2345.07,0.06054,0.74662,1,0.92794,0.000749939,0.000749939,0.000749939
50,2391.42,0.08026,0.79054,1,0.75618,0.000735792,0.000735792,0.000735792
51,2438.14,0.07152,0.72297,1,1.23178,0.000721645,0.000721645,0.000721645
52,2486.28,0.07582,0.6723,1,0.96867,0.000707498,0.000707498,0.000707498
53,2532.43,0.05748,0.65878,1,1.20598,0.000693351,0.000693351,0.000693351
54,2578.35,0.0925,0.80405,1,0.7707,0.000679204,0.000679204,0.000679204
55,2625.85,0.04647,0.74662,1,0.96836,0.000665057,0.000665057,0.000665057
56,2672.27,0.04239,0.71959,1,1.36591,0.000650909,0.000650909,0.000650909
57,2718.56,0.04081,0.81419,1,0.63629,0.000636762,0.000636762,0.000636762
58,2764.72,0.05485,0.75338,1,0.99887,0.000622615,0.000622615,0.000622615
59,2812.45,0.03012,0.82095,1,0.62308,0.000608468,0.000608468,0.000608468
60,2864.08,0.03244,0.76014,1,0.82552,0.000594321,0.000594321,0.000594321
61,2914.1,0.04183,0.71959,1,1.08868,0.000580174,0.000580174,0.000580174
62,2961.69,0.04491,0.72973,1,0.95403,0.000566027,0.000566027,0.000566027
63,3009.17,0.0446,0.81419,1,0.75818,0.00055188,0.00055188,0.00055188
64,3057.54,0.05517,0.83446,1,0.64588,0.000537733,0.000537733,0.000537733
65,3105.28,0.04862,0.79392,1,0.72485,0.000523586,0.000523586,0.000523586
66,3152.48,0.03245,0.83784,1,0.70173,0.000509438,0.000509438,0.000509438
67,3201.99,0.02451,0.75338,1,0.91359,0.000495291,0.000495291,0.000495291
68,3249.76,0.04825,0.74324,1,0.95744,0.000481144,0.000481144,0.000481144
69,3297.48,0.0433,0.75338,1,0.93138,0.000466997,0.000466997,0.000466997
70,3346.91,0.02039,0.73311,1,1.17913,0.00045285,0.00045285,0.00045285
71,3394.42,0.03169,0.73986,1,0.97321,0.000438703,0.000438703,0.000438703
72,3443.49,0.02189,0.71959,1,1.03144,0.000424556,0.000424556,0.000424556
73,3491.7,0.04559,0.75,1,1.06293,0.000410409,0.000410409,0.000410409
74,3540.19,0.02212,0.81419,1,0.83844,0.000396262,0.000396262,0.000396262
75,3589.6,0.02879,0.76351,1,1.06949,0.000382115,0.000382115,0.000382115
76,3638.08,0.02139,0.80405,1,0.95145,0.000367967,0.000367967,0.000367967
77,3686.52,0.02895,0.77365,1,0.97465,0.00035382,0.00035382,0.00035382
78,3735.87,0.02708,0.76351,1,0.92248,0.000339673,0.000339673,0.000339673
79,3786.65,0.01063,0.8277,1,0.80737,0.000325526,0.000325526,0.000325526
80,3835.24,0.01855,0.84459,1,0.72241,0.000311379,0.000311379,0.000311379
81,3884.31,0.01822,0.83108,1,0.69545,0.000297232,0.000297232,0.000297232
82,3931.15,0.02107,0.80405,1,0.83497,0.000283085,0.000283085,0.000283085
83,3978.15,0.01998,0.77703,1,0.85609,0.000268938,0.000268938,0.000268938
84,4026,0.01791,0.74324,1,1.15199,0.000254791,0.000254791,0.000254791
85,4072.38,0.01387,0.73649,1,1.10787,0.000240644,0.000240644,0.000240644
86,4119.62,0.01968,0.75,1,1.00054,0.000226497,0.000226497,0.000226497
87,4167.51,0.02565,0.76689,1,0.88723,0.000212349,0.000212349,0.000212349
88,4214.46,0.01728,0.75676,1,0.83554,0.000198202,0.000198202,0.000198202
89,4260.87,0.00934,0.77027,1,0.79079,0.000184055,0.000184055,0.000184055
90,4307.6,0.01428,0.73649,1,0.92745,0.000169908,0.000169908,0.000169908
91,4358.2,0.02236,0.76689,1,0.87379,0.000155761,0.000155761,0.000155761
92,4405.69,0.01717,0.77365,1,0.91008,0.000141614,0.000141614,0.000141614
93,4454.59,0.00845,0.75676,1,1.05621,0.000127467,0.000127467,0.000127467
94,4501.97,0.00631,0.76014,1,1.03277,0.00011332,0.00011332,0.00011332
95,4548.8,0.00657,0.76014,1,0.95935,9.91726e-05,9.91726e-05,9.91726e-05
96,4596.41,0.01896,0.77027,1,1.0256,8.50255e-05,8.50255e-05,8.50255e-05
97,4644.79,0.01684,0.77365,1,0.95066,7.08784e-05,7.08784e-05,7.08784e-05
98,4695.56,0.01875,0.77365,1,1.03775,5.67313e-05,5.67313e-05,5.67313e-05
99,4743.89,0.01209,0.77703,1,0.87068,4.25842e-05,4.25842e-05,4.25842e-05
100,4792.16,0.01799,0.76351,1,0.90419,2.84371e-05,2.84371e-05,2.84371e-05
