epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1181,0.88435,3.03366,1.02322,0.00339,1,0.83338,0.6787,0.63563,3.47857,0.83502,0.00053979,0.00053979,0.00053979
2,161.615,0.93931,2.05907,0.99995,0.66991,0.48807,0.66449,0.45595,1.05199,3.34387,1.06166,0.000987007,0.000987007,0.000987007
3,250.526,0.96357,1.78245,1.00816,0.46072,0.41891,0.51324,0.38057,1.20055,3.26264,1.26737,0.0013242,0.0013242,0.0013242
4,329.962,0.94341,1.56712,1.00527,0.84918,0.48684,0.79276,0.62347,0.79933,3.8075,0.91359,0.0011719,0.0011719,0.0011719
5,408.731,0.90196,1.39452,0.96104,0.81096,0.41127,0.67921,0.55555,0.65326,3.1188,0.85985,0.00100687,0.00100687,0.00100687
6,490.349,0.84334,1.20432,0.95384,0.87321,0.98272,0.995,0.861,0.58853,1.19478,0.83231,0.000841835,0.000841835,0.000841835
7,569.347,0.79733,1.05628,0.94447,0.9962,1,0.995,0.86294,0.56429,0.87833,0.81396,0.000676802,0.000676802,0.000676802
8,648.395,0.7564,0.94157,0.91578,0.99796,1,0.995,0.89453,0.4799,0.77041,0.81341,0.000511769,0.000511769,0.000511769
9,727.36,0.70682,0.85133,0.90261,0.98926,1,0.995,0.90307,0.44167,0.74439,0.80088,0.000346736,0.000346736,0.000346736
10,806.23,0.66747,0.81179,0.9055,0.99808,1,0.995,0.92795,0.36784,0.66094,0.79553,0.000181703,0.000181703,0.000181703
